所要時間範囲,所要時間,乗り換え回数,駅名,lon,lat,鉄道会社,路線名,建物種別,間取り,月額
41-50分,42分,乗換1回,赤羽岩淵,139.722103,35.783417,東京メトロ,南北線,賃貸アパート,1K,8.0
41-50分,42分,乗換1回,船堀,139.864258,35.683795,都営,新宿線,賃貸アパート,1K,6.94
41-50分,45分,乗換1回,一之江,139.882934,35.686055,都営,新宿線,賃貸アパート,1K,6.95
41-50分,47分,乗換1回,瑞江,139.89761,35.693318,都営,新宿線,賃貸アパート,1K,7.3
41-50分,50分,乗換1回,篠崎,139.903698,35.706017,都営,新宿線,賃貸アパート,1K,8.25
41-50分,42分,乗換1回,大山,139.702589,35.748398,東武,東上線,賃貸アパート,1K,9.66
41-50分,46分,乗換1回,中板橋,139.694628,35.756214,東武,東上線,賃貸アパート,1K,8.22
41-50分,47分,乗換1回,ときわ台,139.689015,35.758771,東武,東上線,賃貸アパート,1K,7.68
41-50分,49分,乗換1回,上板橋,139.67641,35.763596,東武,東上線,賃貸アパート,1K,8.0
41-50分,50分,乗換1回,成増,139.632708,35.777723,東武,東上線,賃貸アパート,1K,8.03
41-50分,42分,乗換1回,梅島,139.797916,35.772437,東武,伊勢崎線〔スカイツリーライン〕,賃貸アパート,1K,6.82
41-50分,43分,乗換1回,西新井,139.790372,35.777323,東武,伊勢崎線〔スカイツリーライン〕,賃貸アパート,1K,7.24
41-50分,43分,乗換2回,東向島,139.819306,35.724324,東武,伊勢崎線〔スカイツリーライン〕,賃貸アパート,1K,6.63
