所要時間範囲,所要時間,乗り換え回数,駅名,lon,lat,鉄道会社,路線名,建物種別,間取り,月額
21-30分,23分,乗換1回,大森海岸,139.73544,35.587576,京急,本線,賃貸マンション,1LDK,21.83
21-30分,23分,乗換1回,平和島,139.73491,35.57868,京急,本線,賃貸マンション,1LDK,17.12
21-30分,24分,乗換1回,京急蒲田,139.723681,35.560796,京急,本線,賃貸マンション,1LDK,16.06
21-30分,28分,乗換1回,大森町,139.732027,35.572431,京急,本線,賃貸マンション,1LDK,14.66
21-30分,29分,乗換1回,梅屋敷,139.728266,35.566873,京急,本線,賃貸マンション,1LDK,14.76
21-30分,21分,乗換1回,麻布十番,139.737051,35.654682,都営,大江戸線（環状部）,賃貸マンション,1LDK,32.98
21-30分,22分,乗換1回,勝どき,139.776442,35.658507,都営,大江戸線（環状部）,賃貸マンション,1LDK,26.5
21-30分,23分,乗換1回,六本木,139.731443,35.662836,都営,大江戸線（環状部）,賃貸マンション,1LDK,32.38
21-30分,24分,乗換1回,月島,139.784233,35.664871,都営,大江戸線（環状部）,賃貸マンション,1LDK,20.82
21-30分,26分,乗換1回,門前仲町,139.796209,35.671851,都営,大江戸線（環状部）,賃貸マンション,1LDK,19.22
21-30分,27分,乗換1回,国立競技場,139.714932,35.679831,都営,大江戸線（環状部）,賃貸マンション,1LDK,24.52
21-30分,28分,乗換1回,新御徒町,139.781958,35.707045,都営,大江戸線（環状部）,賃貸マンション,1LDK,19.16
21-30分,29分,乗換1回,清澄白河,139.798851,35.682105,都営,大江戸線（環状部）,賃貸マンション,1LDK,17.19
21-30分,30分,乗換1回,森下,139.797042,35.68796,都営,大江戸線（環状部）,賃貸マンション,1LDK,18.42
21-30分,21分,乗換1回,天王洲アイル,139.750675,35.622908,不明,りんかい線,賃貸マンション,1LDK,15.82
21-30分,22分,乗換1回,神谷町,139.745069,35.662978,東京メトロ,日比谷線,賃貸マンション,1LDK,35.07
21-30分,22分,乗換1回,築地,139.772603,35.668115,東京メトロ,日比谷線,賃貸マンション,1LDK,23.06
21-30分,23分,乗換1回,中目黒,139.698621,35.643854,東京メトロ,日比谷線,賃貸マンション,1LDK,25.99
21-30分,24分,乗換1回,広尾,139.722202,35.652279,東京メトロ,日比谷線,賃貸マンション,1LDK,27.15
21-30分,24分,乗換1回,八丁堀,139.777705,35.674617,東京メトロ,日比谷線,賃貸マンション,1LDK,27.55
21-30分,27分,乗換1回,小伝馬町,139.778433,35.690737,東京メトロ,日比谷線,賃貸マンション,1LDK,21.11
21-30分,28分,乗換1回,入谷,139.783924,35.719862,東京メトロ,日比谷線,賃貸マンション,1LDK,17.07
21-30分,30分,乗換1回,三ノ輪,139.791485,35.729623,東京メトロ,日比谷線,賃貸マンション,1LDK,16.36
21-30分,22分,乗換1回,神保町,139.757606,35.695966,都営,三田線,賃貸マンション,1LDK,24.44
21-30分,26分,乗換1回,春日,139.75325,35.709598,都営,三田線,賃貸マンション,1LDK,24.78
21-30分,28分,乗換1回,白山,139.752136,35.721408,都営,三田線,賃貸マンション,1LDK,18.88
21-30分,30分,乗換1回,千石,139.744792,35.727957,都営,三田線,賃貸マンション,1LDK,22.0
21-30分,22分,乗換1回,青山一丁目,139.724159,35.672765,東京メトロ,銀座線,賃貸マンション,1LDK,50.97
21-30分,24分,乗換1回,稲荷町,139.782593,35.711273,東京メトロ,銀座線,賃貸マンション,1LDK,19.51
21-30分,24分,乗換1回,外苑前,139.717857,35.670527,東京メトロ,銀座線,賃貸マンション,1LDK,36.41
21-30分,24分,乗換1回,表参道,139.712314,35.665247,東京メトロ,銀座線,賃貸マンション,1LDK,31.6
21-30分,25分,乗換1回,田原町,139.790897,35.709897,東京メトロ,銀座線,賃貸マンション,1LDK,19.22
21-30分,27分,乗換1回,浅草,139.798214,35.711883,東京メトロ,銀座線,賃貸マンション,1LDK,19.33
21-30分,22分,乗換1回,浅草橋,139.784427,35.697403,ＪＲ,総武線各停（御茶ノ水-錦糸町）,賃貸マンション,1LDK,20.59
21-30分,23分,乗換1回,両国,139.793334,35.69579,ＪＲ,総武線各停（御茶ノ水-錦糸町）,賃貸マンション,1LDK,19.27
21-30分,26分,乗換1回,錦糸町,139.814136,35.696802,ＪＲ,総武線各停（御茶ノ水-錦糸町）,賃貸マンション,1LDK,18.49
21-30分,22分,乗換1回,淡路町,139.7675149,35.6953595,東京メトロ,丸ノ内線,賃貸マンション,1LDK,22.5
21-30分,26分,乗換1回,本郷三丁目,139.759914,35.706671,東京メトロ,丸ノ内線,賃貸マンション,1LDK,20.15
21-30分,27分,乗換1回,後楽園,139.751864,35.707898,東京メトロ,丸ノ内線,賃貸マンション,1LDK,21.89
21-30分,28分,乗換2回,四谷三丁目,139.720103,35.687958,東京メトロ,丸ノ内線,賃貸マンション,1LDK,20.96
21-30分,30分,乗換2回,新宿御苑前,139.71069,35.688588,東京メトロ,丸ノ内線,賃貸マンション,1LDK,20.35
21-30分,30分,乗換1回,茗荷谷,139.737184,35.716989,東京メトロ,丸ノ内線,賃貸マンション,1LDK,17.57
21-30分,22分,乗換0回,鶴見,139.67614,35.508387,ＪＲ,京浜東北線,賃貸マンション,1LDK,17.38
21-30分,23分,乗換0回,田端,139.761229,35.737781,ＪＲ,京浜東北線,賃貸マンション,1LDK,15.74
21-30分,26分,乗換0回,上中里,139.745769,35.74728,ＪＲ,京浜東北線,賃貸マンション,1LDK,16.1
21-30分,26分,乗換0回,新子安,139.654776,35.487064,ＪＲ,京浜東北線,賃貸マンション,1LDK,14.0
21-30分,28分,乗換0回,王子,139.73809,35.752538,ＪＲ,京浜東北線,賃貸マンション,1LDK,15.96
21-30分,29分,乗換0回,東神奈川,139.633466,35.47804,ＪＲ,京浜東北線,賃貸マンション,1LDK,13.73
21-30分,22分,乗換1回,日の出,139.75906,35.649136,不明,ゆりかもめ,賃貸マンション,1LDK,31.8
21-30分,23分,乗換1回,芝浦ふ頭,139.757852,35.641773,不明,ゆりかもめ,賃貸マンション,1LDK,19.06
21-30分,29分,乗換1回,お台場海浜公園,139.778607,35.629813,不明,ゆりかもめ,賃貸マンション,1LDK,33.25
21-30分,22分,乗換1回,武蔵小山,139.704524,35.620538,東急,目黒線,賃貸マンション,1LDK,22.59
21-30分,23分,乗換1回,西小山,139.698694,35.615455,東急,目黒線,賃貸マンション,1LDK,16.47
21-30分,25分,乗換1回,洗足,139.694367,35.61043,東急,目黒線,賃貸マンション,1LDK,14.4
21-30分,29分,乗換1回,奥沢,139.672355,35.603947,東急,目黒線,賃貸マンション,1LDK,18.0
21-30分,30分,乗換1回,田園調布,139.667356,35.596815,東急,目黒線,賃貸マンション,1LDK,17.86
21-30分,23分,乗換1回,北千束,139.693303,35.606311,東急,大井町線,賃貸マンション,1LDK,16.9
21-30分,25分,乗換1回,大岡山,139.685909,35.607456,東急,大井町線,賃貸マンション,1LDK,20.82
21-30分,27分,乗換1回,緑が丘,139.679482,35.60638,東急,大井町線,賃貸マンション,1LDK,17.5
21-30分,28分,乗換1回,自由が丘,139.668664,35.607224,東急,大井町線,賃貸マンション,1LDK,20.0
21-30分,30分,乗換1回,九品仏,139.660992,35.60538,東急,大井町線,賃貸マンション,1LDK,14.78
21-30分,29分,乗換1回,昭和島,139.749918,35.570656,不明,東京モノレール,賃貸マンション,1LDK,12.9
21-30分,25分,乗換1回,茅場町,139.780005,35.679752,東京メトロ,東西線,賃貸マンション,1LDK,20.97
21-30分,26分,乗換1回,九段下,139.751948,35.695589,東京メトロ,東西線,賃貸マンション,1LDK,27.19
21-30分,29分,乗換1回,木場,139.807042,35.669351,東京メトロ,東西線,賃貸マンション,1LDK,18.81
21-30分,30分,乗換1回,神楽坂,139.734546,35.70379,東京メトロ,東西線,賃貸マンション,1LDK,21.99
21-30分,25分,乗換1回,馬喰町,139.78238,35.693365,ＪＲ,総武本線（東京-銚子）,賃貸マンション,1LDK,20.86
21-30分,28分,乗換1回,亀戸,139.826262,35.697345,ＪＲ,総武本線（東京-銚子）,賃貸マンション,1LDK,17.8
21-30分,30分,乗換1回,平井,139.842181,35.70643,ＪＲ,総武本線（東京-銚子）,賃貸マンション,1LDK,14.68
